Model settings:
Alpha = 1, Features encoder depth = 34, Cognition encoder depth = 6, Latent space dimension = 6, Data normalized = True
Features encoder dimensions = [14753, 13006, 12264, 11775, 10875, 9729, 9303, 8852, 8000, 8000, 7642, 7175, 6949, 6810, 6311, 6000, 5823, 5583, 5245, 4990, 3629, 3000, 2732, 1200, 1950, 1655, 1500, 1414, 1032, 827, 665, 301, 135, 50]
Cognition encoder dimensions = [12, 11, 10, 9, 8, 7]
Learning curve mode = False
********************
  epoch    l2_norm    reconst_loss    score    train_loss     dur
    181     0.7650          1.2834  15.9192        2.0484  0.5610
    182     0.6960          1.2885  16.1265        [31m1.9845[0m  0.5628
    183     0.7124          1.2917  23.0779        2.0041  0.5620
    184     0.7769          1.3086  15.5876        2.0855  0.5620
    185     0.7194          1.3124  11.7852        2.0319  0.5627
    186     0.7467          1.2927  20.3050        2.0394  0.5626
    187     0.7735          1.3089  14.3696        2.0824  0.5614
    188     0.7332          1.3314  18.3576        2.0646  0.5606
    189     0.7605          1.3130  21.8328        2.0735  0.5627
    190     0.7221          1.2941  17.2856        2.0162  0.5627
    191     0.7510          1.3300  20.9405        2.0811  0.5636
    192     0.7740          1.2645  18.8386        2.0386  0.5625
    193     0.7650          1.2791  15.2532        2.0441  0.5630
    194     0.7097          1.3127  16.0812        2.0224  0.5626
    195     0.7325          1.2795  14.3067        2.0120  0.5626
    196     0.7159          1.2841  21.3165        2.0000  0.5616
    197     0.7389          1.3132  14.7554        2.0521  0.5635
    198     0.6720          1.2822  18.2102        [31m1.9542[0m  0.5627
    199     0.7022          1.3280  21.4918        2.0302  0.5634
    200     0.7395          1.2859  22.0543        2.0253  0.5611
    201     0.6647          1.3160  19.8504        1.9807  0.5634
    202     0.6916          1.3153  14.9543        2.0070  0.5715
    203     0.7031          1.2949  17.3004        1.9980  0.5627
    204     0.6792          1.3142  19.8379        1.9934  0.5619
    205     0.7375          1.2452  20.4906        1.9827  0.5633
    206     0.7124          1.3244  17.7860        2.0368  0.5619
    207     0.7329          1.3079  14.3962        2.0408  0.5636
    208     0.7443          1.2911  19.0231        2.0354  0.5629
    209     0.6861          1.3107  16.5007        1.9968  0.5635
    210     0.7064          1.3286  20.9451        2.0350  0.5631
    211     0.6941          1.3024  15.4809        1.9964  0.5646
    212     0.7469          1.3401  21.0335        2.0869  0.5644
    213     0.7420          1.3269  17.8681        2.0689  0.5621
    214     0.6582          1.2914  15.9544        [31m1.9496[0m  0.5626
    215     0.6705          1.3251  20.0383        1.9956  0.5628
    216     0.6871          1.2612  19.1922        [31m1.9483[0m  0.5643
    217     0.7598          1.3155  14.8063        2.0753  0.5653
    218     0.6964          1.2960  15.7676        1.9923  0.5619
    219     0.6693          1.3022  17.8413        1.9715  0.5638
    220     0.7032          1.3230  16.8164        2.0261  0.5698
    221     0.6751          1.2894  21.8362        1.9644  0.5631
    222     0.7007          1.3086  17.3012        2.0093  0.5635
    223     0.7071          1.3377  23.3388        2.0448  0.5647
    224     0.7300          1.2745  16.7245        2.0045  0.5641
    225     0.7301          1.3061  19.2526        2.0362  0.5628
    226     0.6793          1.2935  18.5547        1.9728  0.5913
    227     0.7190          1.2798  15.4251        1.9989  0.5643
    228     0.6792          1.2811  12.4998        1.9603  0.5617
    229     0.6982          1.3183  20.7669        2.0165  0.5658
    230     0.7001          1.2810  20.5269        1.9811  0.5621
    231     0.6896          1.2877  24.6158        1.9773  0.5636
    232     0.6968          1.2819  17.3678        1.9787  0.5638
